,gname,country_txt
550,Revolutionary Armed Forces of Colombia (FARC),Colombia
551,M-19 (Movement of April 19),Colombia
552,Unknown,Colombia
553,Unknown,Colombia
554,M-19 (Movement of April 19),Colombia
555,M-19 (Movement of April 19),Colombia
556,National Liberation Army of Colombia (ELN),Colombia
557,M-19 (Movement of April 19),Colombia
558,M-19 (Movement of April 19),Colombia
559,M-19 (Movement of April 19),Colombia
560,M-19 (Movement of April 19),Colombia
561,Argentine Youths for Sovereignty,Argentina
562,M-19 (Movement of April 19),Colombia
563,M-19 (Movement of April 19),Colombia
564,M-19 (Movement of April 19),Colombia
565,Revolutionary Armed Forces of Colombia (FARC),Colombia
566,M-19 (Movement of April 19),Colombia
567,Popular Liberation Army (EPL),Colombia
568,Unknown,Colombia
569,Unknown,Venezuela
570,Red Army Faction (RAF),Colombia
571,Unknown,Colombia
572,M-19 (Movement of April 19),Colombia
573,National Liberation Army of Colombia (ELN),Colombia
574,National Liberation Army of Colombia (ELN),Colombia
575,Revolutionary Armed Forces of Colombia (FARC),Colombia
576,Unknown,Colombia
577,Unknown,Ecuador
578,Unknown,Ecuador
579,Unknown,Ecuador
580,M-19 (Movement of April 19),Colombia
581,Popular Liberation Army (EPL),Colombia
582,Popular Liberation Army (EPL),Colombia
583,Popular Liberation Army (EPL),Colombia
584,National Liberation Army of Colombia (ELN),Colombia
585,M-19 (Movement of April 19),Colombia
586,National Liberation Army of Colombia (ELN),Colombia
587,Unknown,Colombia
588,Unknown,Colombia
589,Revolutionary Armed Forces of Colombia (FARC),Colombia
590,Unknown,Argentina
591,Unknown,Colombia
592,Unknown,Colombia
593,Unknown,Ecuador
594,Montoneros (Argentina),Argentina
595,Unknown,Brazil
596,Revolutionary Armed Forces of Colombia (FARC),Colombia
597,Marxist Resistance Movement,Chile
598,M-19 (Movement of April 19),Colombia
599,Popular Liberation Army (EPL),Colombia
600,Popular Liberation Army (EPL),Colombia
601,Red Tribune,Colombia
602,Montoneros (Argentina),Argentina
603,Montoneros (Argentina),Argentina
604,Montoneros (Argentina),Argentina
605,M-19 (Movement of April 19),Colombia
606,M-19 (Movement of April 19),Colombia
607,Revolutionary Armed Forces of Colombia (FARC),Colombia
608,Unknown,Colombia
609,Unknown,Colombia
610,Popular Liberation Army (EPL),Colombia
611,Abstentionist Brigades,Colombia
612,Movement of the Revolutionary Left (MIR) (Chile),Chile
613,Unified Workers Command,Colombia
614,Unknown,Colombia
615,Unknown,Colombia
616,Abstentionist Brigades,Colombia
617,M-19 (Movement of April 19),Colombia
618,Popular Liberation Army (EPL),Colombia
619,Revolutionary Armed Forces of Colombia (FARC),Colombia
620,Revolutionary Armed Forces of Colombia (FARC),Colombia
621,Revolutionary Armed Forces of Colombia (FARC),Colombia
622,Unknown,Colombia
623,supporters of presidential candidate Belisario Bet,Colombia
624,Unknown,Colombia
625,Unknown,Colombia
626,Unknown,Colombia
627,M-19 (Movement of April 19),Colombia
628,M-19 (Movement of April 19),Colombia
629,M-19 (Movement of April 19),Colombia
630,M-19 (Movement of April 19),Colombia
631,M-19 (Movement of April 19),Colombia
632,M-19 (Movement of April 19),Colombia
